"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,"Good"
5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,"Good"
6.8,0.43,0.3,3.5,0.033,27,135,0.9906,3,0.37,12,"Good"
6,0.19,0.29,1.2,0.046,29,92,0.99033,3.22,0.53,11.3,"Good"
6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,"Good"
7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,"Bad"
6.9,0.23,0.4,7.5,0.04,50,151,0.9927,3.11,0.27,11.4,"Good"
6.4,0.31,0.5,5.8,0.038,42,111,0.99189,3.18,0.53,11.9,"Good"
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,"Good"
6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,"Bad"
6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5,"Bad"
7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,"Good"
7.6,0.28,0.39,1.2,0.038,21,115,0.994,3.16,0.67,10,"Good"
7.6,0.2,0.26,4.5,0.086,37,133,0.9963,3.15,0.42,9.2,"Bad"
6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,"Good"
8.4,0.2,0.27,6.3,0.048,30,143,0.9966,3.25,0.5,9.1,"Good"
5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,"Good"
6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,"Good"
6.9,0.25,0.29,2.4,0.038,28,76,0.99088,3.01,0.36,11.7,"Good"
6.8,0.22,0.3,13.6,0.055,50,180,0.9984,3.44,0.39,9.8,"Bad"
5.8,0.28,0.34,2.2,0.037,24,125,0.98986,3.36,0.33,12.8,"Good"
7.6,0.51,0.24,1.2,0.04,10,104,0.992,3.05,0.29,10.8,"Good"
5.2,0.34,0.37,6.2,0.031,42,133,0.99076,3.25,0.41,12.5,"Good"
6.2,0.29,0.32,3.6,0.026,39,138,0.9892,3.31,0.37,13.1,"Good"
7.8,0.22,0.36,1.4,0.056,21,153,0.993,3.2,0.53,10.4,"Good"
8.4,0.32,0.35,11.7,0.029,3,46,0.99439,3.02,0.34,11.8,"Good"
6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,"Good"
6.4,0.29,0.32,2.4,0.014,34,89,0.99008,3.24,0.66,12.5,"Good"
6.7,0.48,0.32,1.4,0.021,22,121,0.9889,3.15,0.53,12.7,"Good"
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,"Good"
6.3,0.36,0.28,2.5,0.035,18,73,0.98868,3.1,0.47,12.8,"Good"
6.8,0.23,0.31,2.8,0.047,40,122,0.99126,3.06,0.64,10.9,"Good"
8.4,0.24,0.49,7.4,0.039,46,108,0.9934,3.03,0.33,11.9,"Good"
6.2,0.31,0.26,4.8,0.037,36,148,0.9928,3.21,0.41,10.4,"Good"
6.9,0.33,0.62,7.5,0.038,46,132,0.99143,3.23,0.43,13.4,"Good"
6.6,0.32,0.34,7.7,0.044,63,212,0.99526,3.22,0.48,9.7,"Good"
7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,"Bad"
6,0.36,0.39,3.2,0.027,20,125,0.991,3.38,0.39,11.3,"Good"
6.2,0.3,0.33,3.5,0.037,37,155,0.98987,3.18,0.37,12.4,"Good"
5.4,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,"Good"
7,0.23,0.32,1.8,0.048,25,113,0.9915,3.11,0.47,11.1,"Good"
6.1,0.25,0.3,1.2,0.036,42,107,0.991,3.34,0.56,10.8,"Good"
4.9,0.33,0.31,1.2,0.016,39,150,0.98713,3.33,0.59,14,"Good"
5.7,0.44,0.13,7,0.025,28,173,0.9913,3.33,0.48,12.5,"Good"
6.7,0.31,0.34,6.8,0.059,51,215,0.99538,3.33,0.56,10.3,"Bad"
7.6,0.23,0.29,8.6,0.053,65,146,0.9963,3.11,0.32,9.8,"Good"
6.3,0.28,0.29,6.8,0.051,40,143,0.99374,3.43,0.59,11,"Good"
7.7,0.16,0.41,1.7,0.048,60,173,0.9932,3.24,0.66,11.2,"Good"
7.6,0.29,0.49,9.6,0.03,45,197,0.9938,3.13,0.38,12.3,"Good"
6.1,0.22,0.5,6.6,0.045,30,122,0.99415,3.22,0.49,9.9,"Good"
7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,"Bad"
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,"Bad"
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,"Good"
6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,"Bad"
7.5,0.23,0.36,7,0.036,43,161,0.9938,3.04,0.32,11,"Bad"
7.4,0.22,0.28,9,0.046,22,121,0.99468,3.1,0.55,10.8,"Bad"
6.1,0.23,0.45,10.6,0.094,49,169,0.99699,3.05,0.54,8.8,"Bad"
9.4,0.16,0.23,1.6,0.042,14,67,0.9942,3.07,0.32,9.5,"Bad"
8.2,0.37,0.27,1.7,0.028,10,59,0.9923,2.97,0.48,10.4,"Bad"
5.5,0.21,0.25,1.2,0.04,18,75,0.99006,3.31,0.56,11.3,"Good"
6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,"Good"
7.1,0.26,0.32,16.2,0.044,31,170,0.99644,3.17,0.37,11.2,"Bad"
6.1,0.25,0.48,15.8,0.052,25,94,0.99782,3.07,0.45,9.2,"Good"
7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,"Bad"
6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,"Bad"
6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,"Good"
7.9,0.29,0.31,7.35,0.034,37,154,0.9938,3.06,0.31,10.8,"Bad"
6.6,0.34,0.24,3.3,0.034,29,99,0.99031,3.1,0.4,12.3,"Good"
6.3,0.19,0.29,2,0.022,33,96,0.98902,3.04,0.54,12.8,"Good"
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,"Good"
7.1,0.28,0.44,1.8,0.032,32,107,0.9907,3.25,0.48,12.2,"Good"
9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,"Bad"
6.7,0.16,0.34,1.6,0.026,27,109,0.9934,3.34,0.58,10.1,"Good"
6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,"Bad"
6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2,"Bad"
6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,"Good"
7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,"Bad"
6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,"Bad"
6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,"Good"
6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,"Good"
6.5,0.43,0.31,3.6,0.046,19,143,0.99022,3.15,0.34,12,"Good"
6.7,0.25,0.34,12.85,0.048,30,161,0.9986,3.44,0.47,9.5,"Good"
5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,"Bad"
7.3,0.34,0.3,1.3,0.057,25,173,0.9948,3.26,0.51,9.1,"Good"
6.3,0.32,0.32,1.5,0.037,12,76,0.98993,3.3,0.46,12.3,"Good"
8.3,0.27,0.34,10.2,0.048,50,118,0.99716,3.18,0.51,10.3,"Bad"
5.5,0.18,0.22,5.5,0.037,10,86,0.99156,3.46,0.44,12.2,"Bad"
7.4,0.37,0.26,9.6,0.05,33,134,0.99608,3.13,0.46,10.4,"Bad"
7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,"Bad"
8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,"Bad"
7,0.2,0.38,8.1,0.05,42,173,0.99585,3.3,0.54,9.8,"Good"
6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,"Bad"
6.4,0.38,0.2,5.3,0.117,57,181,0.99459,3.24,0.43,9.5,"Good"
7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,"Good"
7.4,0.21,0.27,7.3,0.031,41,144,0.9932,3.15,0.38,11.8,"Good"
6,0.21,0.34,2,0.042,63,123,0.99052,3.44,0.42,11.4,"Good"
6.3,0.305,0.22,16,0.061,26,141,0.99824,3.08,0.5,9.1,"Bad"
6.6,0.28,0.23,10.4,0.049,45,190,0.99754,3.12,0.51,8.8,"Bad"
5.8,0.34,0.21,7.2,0.041,48,146,0.99441,3.16,0.49,9.8,"Bad"
6.6,0.25,0.41,7.4,0.043,29,151,0.9946,3.15,0.6,10.2,"Good"
6.2,0.25,0.48,10,0.044,78,240,0.99655,3.25,0.47,9.5,"Good"
9.9,1.005,0.46,1.4,0.046,34,185,0.9966,3.02,0.49,10.2,"Bad"
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,"Good"
8.2,0.36,0.29,7.6,0.035,37,122,0.9939,3.16,0.34,12,"Bad"
7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2,"Bad"
6.7,0.26,0.49,8.3,0.047,54,191,0.9954,3.23,0.4,10.3,"Good"
5.8,0.19,0.33,4.2,0.038,49,133,0.99107,3.16,0.42,11.3,"Good"
6.4,0.31,0.27,7.4,0.049,48,169,0.99323,3.27,0.45,11.1,"Good"
6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,"Good"
5.7,0.18,0.26,2.2,0.023,21,95,0.9893,3.07,0.54,12.3,"Good"
6.5,0.24,0.28,1.1,0.034,26,83,0.98928,3.25,0.33,12.3,"Good"
6.8,0.25,0.37,3.1,0.026,29,93,0.99035,3.14,0.45,12.2,"Good"
7.3,0.28,0.35,1.6,0.054,31,148,0.99178,3.18,0.47,10.7,"Bad"
6.3,0.19,0.29,5.5,0.042,44,189,0.99304,3.19,0.47,10.3,"Good"
7.2,0.24,0.19,7.7,0.045,53,176,0.9958,3.17,0.38,9.5,"Bad"
7.4,0.23,0.38,8.6,0.052,41,150,0.99534,3.06,0.46,10.3,"Bad"
9.2,0.14,0.37,1.1,0.034,36,84,0.99136,3.05,0.55,11.6,"Good"
6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,"Bad"
6.8,0.26,0.4,7.5,0.046,45,179,0.99583,3.2,0.49,9.3,"Bad"
6.4,0.2,0.28,2.5,0.032,24,84,0.99168,3.31,0.55,11.5,"Bad"
7,0.35,0.31,1.8,0.069,15,162,0.9944,3.18,0.47,9.4,"Bad"
7.1,0.21,0.3,1.4,0.037,45,143,0.9932,3.13,0.33,9.9,"Good"
6,0.44,0.26,3.1,0.053,57,128,0.98982,3.22,0.39,12.7,"Good"
4.9,0.47,0.17,1.9,0.035,60,148,0.98964,3.27,0.35,11.5,"Good"
7.2,0.19,0.31,6.3,0.034,17,103,0.99305,3.15,0.52,11.4,"Good"
6,0.29,0.2,12.6,0.045,45,187,0.9972,3.33,0.42,9.5,"Bad"
6.4,0.32,0.5,10.7,0.047,57,206,0.9968,3.08,0.6,9.4,"Bad"
9.7,0.14,0.59,1.5,0.049,23,142,0.9958,2.98,0.62,9.5,"Bad"
7,0.21,0.37,7.2,0.042,36,167,0.9958,3.26,0.56,9.8,"Good"
6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,"Good"
6.6,0.22,0.3,14.7,0.045,50,136,0.99704,3.14,0.37,10.6,"Good"
8.7,0.15,0.3,1.6,0.046,29,130,0.9942,3.22,0.38,9.8,"Good"
6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,"Bad"
6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,"Bad"
6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,"Bad"
8.2,0.26,0.44,1.3,0.046,7,69,0.9944,3.14,0.62,10.2,"Bad"
6.5,0.28,0.33,15.7,0.053,51,190,0.9978,3.22,0.51,9.7,"Good"
6.9,0.14,0.29,9.9,0.056,30,91,0.99512,3.19,0.33,9.9,"Good"
6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,"Good"
7,0.28,0.28,1.4,0.039,12,83,0.99173,3.18,0.65,11.1,"Bad"
7.2,0.34,0.2,5.8,0.062,52,203,0.99461,3.17,0.44,9.8,"Good"
8.2,0.68,0.3,2.1,0.047,17,138,0.995,3.22,0.71,10.8,"Bad"
7.2,0.23,0.38,6.1,0.067,20,90,0.99496,3.17,0.79,9.7,"Bad"
6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,"Bad"
6.6,0.27,0.3,1.9,0.025,14,153,0.9928,3.29,0.62,10.5,"Good"
7.1,0.17,0.31,1.6,0.037,15,103,0.991,3.14,0.5,12,"Good"
7,0.12,0.28,6.3,0.057,17,103,0.9957,3.5,0.44,9.6,"Bad"
6.1,0.24,0.3,1.5,0.045,22,61,0.992,3.31,0.54,10.4,"Bad"
6.6,0.24,0.27,10.3,0.047,54,219,0.99742,3.04,0.45,8.8,"Bad"
5.1,0.11,0.32,1.6,0.028,12,90,0.99008,3.57,0.52,12.2,"Good"
6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,"Good"
7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,"Good"
6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4,"Good"
8.3,0.15,0.39,1.3,0.055,32,146,0.993,3.08,0.39,10.5,"Good"
6.4,0.35,0.28,1.6,0.037,31,113,0.98779,3.12,0.4,14.2,"Good"
7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,"Good"
7,0.16,0.3,2.6,0.043,34,90,0.99047,2.88,0.47,11.2,"Good"
6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,"Good"
6.5,0.15,0.44,12.6,0.052,65,158,0.99688,3.26,0.7,10.3,"Good"
7.3,0.32,0.34,6.6,0.032,24,112,0.99505,3.22,0.46,9.8,"Good"
